date,time,weight,desired_weights
2026-04-23,00:00,83.7,"84.9,82.9"

2026-04-22,00:00,83.4,
2026-04-20,00:00,83.7,
2026-04-17,00:00,81.8,
2026-04-16,00:00,82.7,
2026-04-15,00:00,83.4,
2026-04-14,00:00,84.0,
2026-04-13,00:00,85.5,
2026-04-11,00:00,83.6,
2026-04-08,00:00,84.3,
2026-04-02,00:00,82.8,
2026-04-01,00:00,83.3,
2026-03-31,00:00,83.9,
2026-03-27,00:00,83.6,
2026-03-26,00:00,84.2,
2026-03-25,00:00,84.8,
2026-03-24,00:00,85.0,
2026-03-20,00:00,83.4,
2026-03-19,00:00,83.9,
2026-03-18,00:00,84.5,
2026-03-13,00:00,84.3,
2026-03-12,00:00,84.1,
2026-03-11,00:00,85.2,
2026-03-06,00:00,84.7,
2026-03-05,00:00,85.0,
2026-03-03,00:00,84.2,
2026-03-01,00:00,84.2,
2026-02-28,00:00,83.7,
2026-02-27,00:00,83.6,
2026-02-26,00:00,83.6,
2026-02-25,00:00,83.9,
2026-02-24,00:00,84.5,
2026-02-23,00:00,84.3,
2026-02-22,00:00,84.3,
2026-02-21,00:00,85.0,
2026-02-19,00:00,84.8,
2026-02-18,00:00,85.2,
2026-02-16,00:00,86.1,
2026-02-13,00:00,85.8,
2026-02-12,00:00,85.2,
2026-02-11,00:00,85.9,
2026-02-10,00:00,86.2,
2026-02-09,00:00,86.1,
2026-02-08,00:00,85.9,
2026-02-07,00:00,85.6,
2026-02-06,00:00,85.5,
2026-02-05,00:00,85.7,
2026-02-04,00:00,86.3,
2026-02-03,00:00,87.1,
2026-02-02,00:00,88.4,
2026-02-01,00:00,87.1,
2026-01-30,00:00,87.3,
2025-12-30,00:00,86.4,
2025-12-29,00:00,86.8,
2025-12-18,00:00,86.2,
2025-12-17,00:00,86.9,
2025-12-10,00:00,87.8,
2025-12-09,00:00,88.7,
2025-12-05,00:00,85.9,
2025-12-03,00:00,86.8,
2025-12-02,00:00,86.9,
2025-11-28,00:00,85.9,
2025-11-27,00:00,86.4,
2025-11-26,00:00,86.4,
2025-11-21,00:00,86.4,
2025-11-20,00:00,86.3,
2025-11-14,00:00,86.8,
2025-11-13,00:00,86.6,
2025-11-12,00:00,87.2,
2025-10-31,00:00,87.0,
2025-10-30,00:00,87.0,
2025-10-15,00:00,85.7,
2025-09-25,00:00,85.2,
2025-09-19,00:00,85.4,
2025-09-12,00:00,84.6,
2025-09-11,00:00,84.4,
2025-09-10,00:00,84.9,
2025-09-09,00:00,85.1,
2025-09-06,00:00,85.6,
2025-09-05,00:00,84.7,
2025-09-04,00:00,84.2,
2025-09-03,00:00,85.2,
2025-09-02,00:00,85.7,
2025-08-29,00:00,85.2,
2025-08-28,00:00,84.0,
2025-08-27,00:00,86.0,
2025-08-22,00:00,85.4,
2025-08-20,00:00,85.5,
2025-08-15,00:00,85.6,
2025-08-12,00:00,86.6,
2025-08-09,00:00,85.6,
2025-08-08,00:00,85.5,
2025-08-07,00:00,85.2,
2025-07-31,00:00,85.9,
2025-07-25,00:00,84.8,
2025-07-23,00:00,85.2,
2025-07-21,00:00,85.3,
2025-07-18,00:00,86.0,
2025-07-17,00:00,86.7,
2025-07-16,00:00,87.7,
2025-07-15,00:00,87.4,
2025-07-14,00:00,86.9,
2025-06-19,00:00,87.7,
2025-06-18,00:00,88.0,
2025-06-13,00:00,87.6,
2024-12-09,00:00,92.0,
2024-12-06,00:00,90.2,
2024-12-05,00:00,90.5,
2024-12-04,00:00,90.7,
2024-12-03,00:00,91.6,
2024-11-30,00:00,90.1,
2024-11-29,00:00,90.3,
2024-11-28,00:00,90.3,
2024-11-27,00:00,91.5,
2024-11-26,00:00,91.9,
2024-11-25,00:00,92.4,
2024-11-20,00:00,90.8,
2024-11-19,00:00,91.3,
2024-11-15,00:00,90.7,
2024-11-14,00:00,91.6,
2024-11-13,00:00,91.8,
2024-11-12,00:00,91.4,
2024-11-08,00:00,90.6,
2024-11-07,00:00,90.8,
2024-11-06,00:00,91.9,
2024-11-05,00:00,92.4,
2024-11-04,00:00,91.9,
2024-11-01,00:00,91.9,
2024-10-31,00:00,91.9,
2024-10-30,00:00,93.0,
2024-10-29,00:00,93.4,
2024-08-14,00:00,89.6,
2024-08-13,00:00,90.4,
2024-08-12,00:00,90.7,
2024-07-19,00:00,88.7,
2024-07-17,00:00,88.4,
2024-07-16,00:00,89.0,
2024-07-15,00:00,89.7,
2024-07-04,00:00,88.5,
2024-07-03,00:00,88.8,
2024-06-28,00:00,88.7,
2024-06-27,00:00,89.4,
2024-06-26,00:00,88.9,
2024-06-21,00:00,87.8,
2024-06-20,00:00,88.2,
2024-06-19,00:00,88.5,
2024-06-14,00:00,87.9,
2024-06-13,00:00,88.3,
2024-06-12,00:00,88.9,
2024-06-11,00:00,89.9,
2024-06-07,00:00,88.5,
2024-06-06,00:00,89.2,
2024-06-05,00:00,89.5,
2024-06-01,00:00,89.5,
2024-05-31,00:00,89.8,
2024-05-30,00:00,90.5,
2024-05-29,00:00,90.9,
2024-05-24,00:00,90.0,
2024-05-23,00:00,90.2,
2024-05-22,00:00,90.8,
2024-05-21,00:00,91.2,
2024-05-20,00:00,90.8,
2024-05-17,00:00,91.7,
2024-05-16,00:00,91.8,
2024-05-15,00:00,91.4,
2024-05-11,00:00,91.2,
2024-05-10,00:00,91.8,
2024-05-09,00:00,92.8,
